ID,ポジション,名前,よびかた,歌詞,汎
0,IF,川瀬晃,かわせ,風の如く駆け抜け　グラブ捌き魅せるぜ 快音を響かせ　バットも魅せるぜ,
1,あ,あ,あ,あ,
2,あ,あ,あ,あ,
3,OF,近藤,こんどう,"極めた技で 打球が冴え渡る
遥か夢追い求めて 頂へと進め",
4,IF,ジーター・ダウンズ,じーたー,"ラララ～ ジーター 君の出番だ（Let's go!!）
オオオ～（オイ！） 掴めVictory",
5,IF,山川穂高,やまかわ,"鮮烈な一打を 放てスタンドの彼方へ
一振りで決めるぞ 高く遠く飛ばせ",
6,IF,今宮健太,いまみや,"生まれ持つセンス 風を切り走れ　
空高く飛ばせ 柔らかなリストで",
7,OF,中村晃,あきら,"新たな扉を 今から開け　
愛する男さ 中村晃",
8,IF,牧原大成,まきはら,みなぎるそのエナジー 轟け地の果てまで 縦横無尽に駆け抜け 男になれ,
9,OF,柳田悠岐,ぎーた,"光のような足と 突き刺すようなスロー　
いざ一振り決めて 輝け柳田",
10,P,上沢直之,うわさわ,我らが待ち望む　勝利を手にする為　多彩な持ち球を 繰り出せ上沢,
11,P,津森宥紀,つもり,男勝負の時だ 思い切り投げ込め 気迫あふれる闘志で 勝利へ導け,
12,C,嶺井博希,みねい,高み目指す男よ 立ち上がれさぁ 嶺井博希今こそ 強く闘え,
13,あ,あ,あ,あ,
14,P,又吉克樹,またよし,頼りになる鷹の中継ぎ 気持ち込めて 又吉今こそ 勝負に出ろ,
15,あ,あ,あ,あ,
16,P,東浜巨,ひがしはま,立ち向かえよ 勝利の為 この地に今輝いて 高み目指せ,
17,P,有原航平,,雄々しく飛び立ち 華麗に舞い上がれ 巧みな投球で 勝利を掴め,
18,P,武田翔太,あ,立ち向かえ 気持ち込め 腕を振り抜け 速い球 切れる球 勝利を決めろ,
19,あ,あ,あ,あ,
20,あ,あ,あ,あ,
21,あ,あ,あ,あ,
22,あ,あ,あ,あ,
23,IF,周東佑京,しゅうとう,たゆまぬ努力で さぁ時代を築け 志ひとつに 行けスピードソルジャー,
24,IF,栗原陵矢,くりはら,輝く時だ 後世に語り継がれる 伝説を今から 作れよ栗原,
25,あ,あ,あ,あ,
26,P,大津亮介,おおつ,制球乱れなく 緩急手繰る腕 青き翼を広げ羽ばたけ 魅せろ多彩な魔球,
27,あ,あ,あ,あ,
28,あ,あ,あ,あ,
29,あ,あ,あ,あ,
30,あ,あ,あ,あ,
31,OF,正木智也,まさき,"狙い研ぎ澄まし 殊勲の一打を
高らかに放て 正木の一振りで",
32,OF,柳町達,やなぎまち,熾烈な争いを 勝ち上がる為 闘う男の一振り 華麗に打ち捌け,
33,あ,あ,あ,あ,
34,あ,あ,あ,あ,
35,あ,あ,あ,あ,
36,あ,あ,あ,あ,
37,あ,あ,あ,あ,
38,あ,あ,あ,あ,
39,P,尾形 崇斗,おがた,夢を賭けた マウンドで　尾形崇斗よ 今見せてやれ,
40,P,杉山 一樹,すぎやま,高い位置から 速いボールで 敵を追い込み 勝利を掴め,
41,あ,あ,あ,あ,
42,あ,あ,あ,あ,
43,あ,あ,あ,あ,
44,あ,あ,あ,あ,
45,C,谷川原健太,たにがわら,強く振り抜け そのバットで 遥か彼方の空へ 飛ばせ健太,
46,あ,あ,あ,あ,
47,P,大関友久,おおぜき,ほとばしる汗の中 歓声を胸に秘め 男なら今ここで 勝つんだ大関,
48,あ,あ,,あ,
49,あ,あ,あ,あ,
50,あ,板東 湧梧,ばんどう,女神の微笑みは きっとあるから 握るボール 決まるコース 敵を打ち取れ,
51,あ,あ,あ,あ,
52,あ,あ,あ,あ,
53,あ,あ,あ,あ,
54,あ,あ,あ,あ,
55,あ,あ,あ,あ,
56,あ,田浦 文丸,,決める 気持ちだけだ 一筋の 道行き戦え,
57,あ,あ,あ,あ,
58,あ,あ,あ,あ,
59,あ,長谷川威展,あ,気迫溢れる その球で　行（ゆ）けよ威展 ひたむきに,
60,あ,あ,あ,あ,
61,あ,あ,あ,あ,
62,C,海野隆司,うみの,歓声背に受け 熱い想い胸に秘め 攻守に輝き 勝利へ導け,
63,あ,あ,あ,あ,
64,あ,あ,あ,あ,
65,あ,あ,あ,あ,
66,あ,松本裕樹,あ,胸元突き刺す 速い球みせ 決めろその球で 敵を討ち取れ,
67,あ,あ,あ,あ,
68,あ,あ,あ,あ,
69,あ,あ,あ,あ,
70,あ,あ,あ,あ,
71,あ,あ,あ,あ,
72,あ,あ,あ,あ,
73,あ,あ,あ,あ,
74,あ,あ,あ,あ,
75,あ,あ,あ,あ,
76,あ,あ,あ,あ,
77,あ,あ,あ,あ,
78,あ,あ,あ,あ,
79,あ,あ,あ,あ,
80,あ,あ,あ,あ,
81,あ,あ,あ,あ,
82,あ,あ,あ,あ,
83,あ,あ,あ,あ,
84,あ,あ,あ,あ,
85,あ,あ,あ,あ,
86,あ,あ,あ,あ,
87,あ,あ,あ,あ,
88,あ,あ,あ,あ,
89,あ,あ,あ,あ,
91,あ,あ,あ,あ,
92,あ,あ,あ,あ,
93,あ,あ,あ,あ,
94,あ,あ,あ,あ,
95,あ,あ,あ,あ,
96,あ,あ,あ,あ,
97,あ,あ,あ,あ,
98,あ,あ,あ,あ,
99,IF,野村勇,いさみ,"ここで見せろ力強く 敵を凌駕する一撃
全速前進フルスピードで 勇ましく走れ",
900,C,渡邉陸,わたなべ,,
